Model,R²,MAE,RMSE
Linear Regression,0.6363111296737218,922510.0263097478,1251473.7532491223
KNN Regressor,0.5666728390298579,972428.9024390244,1366044.0248828535
Random Forest,0.5644657874372014,976950.1943089431,1369518.421015639
